,post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
51,47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,186,71,MaximilianEmel,2026-04-05 15:43:59.025605,0.37967914438502676,True
52,47642552,Nandgame – Build a Computer from Scratch,technology,5,0,Vortigaunt,2026-04-05 15:44:05.051400,0.0,False
53,47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,780,365,hkmaxpro,2026-04-05 15:44:07.818666,0.4673495518565941,True
54,47627419,The Axios supply chain attack used individually targeted social engineering,technology,46,11,cmitsakis,2026-04-05 15:44:10.482661,0.23404255319148937,False
55,47587339,DCJ11Hack+ – DEC PDP/11 based homebrew computer,technology,30,1,zdw,2026-04-05 15:44:16.926296,0.03225806451612903,False
56,47645696,Towards end-to-end automation of AI research,technology,6,0,hardmaru,2026-04-05 15:44:19.562434,0.0,False
57,47644529,Why samurai are cooler than klingons,technology,9,0,mooreds,2026-04-05 15:44:27.348702,0.0,False
58,47609492,50 years measuring the cleanest air,technology,23,5,defrost,2026-04-05 15:44:30.838735,0.20833333333333334,False
59,47625244,Critics say EU risks ceding control of its tech laws under U.S. pressure,technology,239,138,nickslaughter02,2026-04-05 15:44:35.885693,0.575,True
60,47640722,12k AI-generated blog posts added in a single commit,technology,145,145,noslop,2026-04-05 15:44:41.150355,0.9931506849315068,True
61,47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,technology,44,24,tosh,2026-04-05 15:44:43.542119,0.5333333333333333,False
62,47608604,Why LLM-Generated Passwords Are Dangerously Insecure,technology,19,24,zdw,2026-04-05 15:44:46.037225,1.2,False
63,47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,21,14,slp3r,2026-04-05 15:44:51.070435,0.6363636363636364,False
64,47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,6,0,Jet_Xu,2026-04-05 15:44:53.499332,0.0,False
65,47611921,Significant raise of reports,technology,313,155,stratos123,2026-04-05 15:44:55.828147,0.49363057324840764,True
66,47636600,"Apple at 50, blind people and our allies shaping Apple accessibility innovation",technology,8,2,sholladay,2026-04-05 15:44:58.430890,0.2222222222222222,False
67,47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,117,kasparnoor,2026-04-05 15:45:00.901113,0.7647058823529411,True
68,47620933,Memo: A language that remembers only the last 12 lines of code,technology,57,36,notem,2026-04-05 15:45:03.529153,0.6206896551724138,False
69,47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,35,23,sagirodin,2026-04-05 15:45:09.765587,0.6388888888888888,False
70,47621438,Show HN: Made a little Artemis II tracker,entertainment,149,56,codingmoh,2026-04-05 15:45:13.708565,0.37333333333333335,True
71,47645100,Mission to Recover Downed F-15E Aircrew,technology,7,0,everybodyknows,2026-04-05 15:45:16.012588,0.0,False
72,47640984,"Iran's Network of Cameras Bolsters Air Defenses, Expert Says",technology,46,17,uxhacker,2026-04-05 15:45:34.860243,0.3617021276595745,False
73,47604155,SpaceX files to go public,science,397,572,nutjob2,2026-04-05 15:45:39.052894,1.4371859296482412,True
74,47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,295,147,Growtika,2026-04-05 15:45:41.511793,0.4966216216216216,True
75,47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",technology,96,39,Bender,2026-04-05 15:45:45.241789,0.4020618556701031,False
76,47609694,Email obfuscation: What works in 2026?,technology,369,103,jaden,2026-04-05 15:45:48.985569,0.27837837837837837,True
77,47639207,Show HN: Tokencap – Token budget enforcement across your AI agents,technology,7,0,pykul,2026-04-05 15:45:51.496445,0.0,False
78,47592755,OpenAI closes funding round at an $852B valuation,technology,526,493,surprisetalk,2026-04-05 15:45:58.508925,0.9354838709677419,True
79,47612558,Enabling Codex to Analyze Two Decades of Hacker News Data,technology,87,30,ronfriedhaber,2026-04-05 15:46:02.253955,0.3409090909090909,False
80,47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,897,432,novaRom,2026-04-05 15:46:11.096508,0.48106904231625836,True
81,47643347,OpenRouter Raises $120M at a $1.3B Valuation,technology,9,7,ryanatallah,2026-04-05 15:46:13.460793,0.7,False
82,47599510,"Random numbers, Persian code: A mysterious signal transfixes radio sleuths",technology,128,121,thinkingemote,2026-04-05 15:46:16.125968,0.937984496124031,True
83,47635340,Let's be Honest about AI Coding,technology,22,3,lordofmoria,2026-04-05 15:46:18.453965,0.13043478260869565,False
84,47631648,Automatic Textbook Formalization,entertainment,43,17,tzury,2026-04-05 15:46:22.367363,0.38636363636363635,False
85,47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,75,4,nemoniac,2026-04-05 15:46:24.695676,0.05263157894736842,False
86,47610245,Things I Think I Think... Preferring Local OSS LLMs,technology,53,9,zdw,2026-04-05 15:46:29.702154,0.16666666666666666,False
87,47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,technology,132,10,01-_-,2026-04-05 15:46:33.327675,0.07518796992481203,True
88,47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,202,56,tjgreen,2026-04-05 15:46:39.629053,0.27586206896551724,True
89,47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,113,65,rdme,2026-04-05 15:46:44.685032,0.5701754385964912,False
90,47615876,The case for zero-error horizons in trustworthy LLMs,technology,79,113,daigoba66,2026-04-05 15:46:48.275291,1.4125,False
91,47623101,A Rave Review of Superpowers (For Claude Code),technology,46,25,emschwartz,2026-04-05 15:46:50.717167,0.5319148936170213,False
92,47620039,"Reporting potholes with an ESP32, LoRA, and AI",technology,33,0,flakespancakes,2026-04-05 15:46:56.979614,0.0,False
93,47603737,AI for American-produced cement and concrete,technology,223,117,latchkey,2026-04-05 15:47:00.770564,0.5223214285714286,True
94,47593634,Ordinary Lab Gloves May Have Skewed Microplastic Data,technology,139,62,WaitWaitWha,2026-04-05 15:47:05.171815,0.44285714285714284,True
95,47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,39,22,Realman78,2026-04-05 15:47:07.530591,0.55,False
96,47592462,I traced my traffic through a home Tailscale exit node,technology,155,72,stonecharioteer,2026-04-05 15:47:09.777568,0.46153846153846156,True
97,47593422,"Show HN: 1-Bit Bonsai, the First Commercially Viable 1-Bit LLMs",technology,425,151,PrismML,2026-04-05 15:47:21.643826,0.3544600938967136,True
98,47644492,Mullenweg to Cloudflare: Keep WordPress Out of Your Mouth,technology,11,1,ValentineC,2026-04-05 15:47:23.898733,0.08333333333333333,False
99,47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,technology,36,6,j0rg3,2026-04-05 15:47:26.165635,0.16216216216216217,False
100,47632750,Show HN: TinyOS – A minimalist RTOS for Cortex-M written in C,entertainment,100,43,hpscript,2026-04-05 15:47:28.445733,0.42574257425742573,False
101,47629608,Tech Companies Are Trying to Neuter Colorado's Landmark Right-to-Repair Law,technology,50,10,liz_ifixit,2026-04-05 15:47:51.559831,0.19607843137254902,False
102,47634328,Show HN: DotReader – connects ideas across your books automatically,entertainment,5,2,efecerre,2026-04-05 15:47:56.474857,0.3333333333333333,False
103,47631011,PIGuard: Prompt Injection Guardrail via Mitigating Overdefense for Free,technology,15,5,mettamage,2026-04-05 15:47:58.734671,0.3125,False
104,47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-05 15:48:02.185120,0.753731343283582,True
105,47634240,OpenAI Cap Table leak reveals Microsoft's 18x return,technology,30,4,diehunde,2026-04-05 15:48:06.820106,0.12903225806451613,False
106,47639224,Intelligence Cannot Be Trained?,technology,7,7,hyperzzw,2026-04-05 15:48:10.410926,0.875,False
107,47633715,Kids groups say they didn't know OpenAI was behind their child safety coalition,technology,35,8,heavyset_go,2026-04-05 15:48:12.841703,0.2222222222222222,False
108,47633734,ENiGMA½ BBS Software,technology,10,1,NuSkooler,2026-04-05 15:48:15.125736,0.09090909090909091,False
109,47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,entertainment,21,4,symisc_devel,2026-04-05 15:48:17.671378,0.18181818181818182,False
