post_id,title,category,score,num_comments,author,collected_at
47592462,I traced my traffic through a home Tailscale exit node,technology,155,72,stonecharioteer,2026-04-05 15:47:09.777568
47593422,"Show HN: 1-Bit Bonsai, the First Commercially Viable 1-Bit LLMs",technology,425,151,PrismML,2026-04-05 15:47:21.643826
47644492,Mullenweg to Cloudflare: Keep WordPress Out of Your Mouth,technology,11,1,ValentineC,2026-04-05 15:47:23.898733
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,technology,36,6,j0rg3,2026-04-05 15:47:26.165635
47632750,Show HN: TinyOS – A minimalist RTOS for Cortex-M written in C,entertainment,100,43,hpscript,2026-04-05 15:47:28.445733
47629608,Tech Companies Are Trying to Neuter Colorado's Landmark Right-to-Repair Law,technology,50,10,liz_ifixit,2026-04-05 15:47:51.559831
47634328,Show HN: DotReader – connects ideas across your books automatically,entertainment,5,2,efecerre,2026-04-05 15:47:56.474857
47631011,PIGuard: Prompt Injection Guardrail via Mitigating Overdefense for Free,technology,15,5,mettamage,2026-04-05 15:47:58.734671
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-05 15:48:02.185120
47634240,OpenAI Cap Table leak reveals Microsoft's 18x return,technology,30,4,diehunde,2026-04-05 15:48:06.820106
47639224,Intelligence Cannot Be Trained?,technology,7,7,hyperzzw,2026-04-05 15:48:10.410926
47633715,Kids groups say they didn't know OpenAI was behind their child safety coalition,technology,35,8,heavyset_go,2026-04-05 15:48:12.841703
47633734,ENiGMA½ BBS Software,technology,10,1,NuSkooler,2026-04-05 15:48:15.125736
47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,entertainment,21,4,symisc_devel,2026-04-05 15:48:17.671378
47633514,"Writing an LLM from scratch, part 32h – Interventions: full fat float32",technology,7,0,gpjt,2026-04-05 15:48:21.232935
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05 15:48:23.415564
47632901,Sandbox Strategy Game for AI,technology,6,0,Stefan_Golas,2026-04-05 15:48:30.034784
47630582,Three main saturated fats raise your cholesterol,technology,47,14,brandonb,2026-04-05 15:48:35.802144
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",technology,25,14,arttaboi,2026-04-05 15:48:40.953632
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-05 15:48:43.578662
47587866,Microsoft: Copilot is for entertainment purposes only,technology,578,200,lpcvoid,2026-04-05 15:48:45.942413
47643365,Should you upload blood test results to AI?,technology,5,1,bookofjoe,2026-04-05 15:48:49.718518
47629505,Solana Drift Protocol drained of $285M via fake token and governance hijack,technology,75,32,anonhaven,2026-04-05 15:48:58.756664
47605677,Signing data structures the wrong way,technology,120,52,malgorithms,2026-04-05 15:49:02.831023
47637472,European Commission cloud breach: a supply-chain compromise,technology,16,0,Sandman,2026-04-05 15:49:05.287143
47603966,Show HN: Flight-Viz – 10K flights on a 3D globe in 3.5MB of Rust+WASM,entertainment,88,45,coolwulf,2026-04-05 15:49:07.605572
47610336,r/programming bans all discussion of LLM programming,technology,196,220,cryptoz,2026-04-05 15:49:11.219875
47597085,Claude Code Unpacked : A visual guide,technology,1110,403,autocracy101,2026-04-05 15:49:13.441331
47637343,Iran Threatens to Bomb 1GW Stargate AI Datacenter in Abu Dhabi,technology,12,1,ZunarJ5,2026-04-05 15:49:17.168722
47634095,Wikidata for Developers,technology,5,0,matthberg,2026-04-05 15:49:19.502948
47610534,"Vitalik Buterin – ""My self-sovereign / local / private / secure LLM setup""",technology,34,6,derrida,2026-04-05 15:49:26.142496
47594804,Show HN: Claude Code rewritten as a bash script,technology,59,19,rpst,2026-04-05 15:49:31.195684
47594936,GitHub has DMCA'd nearly all forks of the official Claude-code repo,technology,52,51,cg505,2026-04-05 15:49:40.207105
47587597,Ask HN: Distributed data centers in our basements,technology,73,65,cmos,2026-04-05 15:49:42.530516
47637083,Ask HN: Learning resources for building AI agents?,technology,7,6,7e10,2026-04-05 15:49:45.802207
47640048,Sam Altman's sister amends lawsuit accusing OpenAI CEO of sexual abuse,technology,27,22,therobots927,2026-04-05 15:49:49.533198
47589370,Securing Elliptic Curve Cryptocurrencies Against Quantum Vulnerabilities [pdf],technology,54,32,jandrewrogers,2026-04-05 15:49:53.205803
47632016,The danger of military AI isn't killer robots; it's worse human judgement,technology,22,5,speckx,2026-04-05 15:50:01.985454
47631444,Show HN: Run Claude Code autonomously inside your Docker Compose stack (OSS),technology,8,0,sayil,2026-04-05 15:50:04.506397
47639016,Show HN: Hacker News RSS Feed Directory,entertainment,8,0,tamnd,2026-04-05 15:50:08.244607
47603131,Google Cloud: Investing in the Future of PostgreSQL,technology,33,8,kevincox,2026-04-05 15:50:18.607134
47604245,Ukrainian drone holds position for 6 weeks,technology,171,194,AftHurrahWinch,2026-04-05 15:50:27.179604
47588324,Show HN: Sundial – a new way to look at a weather forecast,entertainment,65,26,izaidi,2026-04-05 15:50:31.066952
47592626,Super Micro Computer Investors Look for Exits,technology,41,25,malindasp,2026-04-05 15:50:33.552116
47620381,AWS has officially removed all EC2 instances in Bahrain from their docs,technology,57,1,mirzap,2026-04-05 15:50:37.755564
47609294,The Claude Code Leak,technology,199,180,mergesort,2026-04-05 15:50:43.248973
47588103,"On the trail of ancient art, deep in the Sahara",technology,29,3,bookofjoe,2026-04-05 15:50:45.847135
47640137,Byte-Pair Encoding,technology,9,0,tosh,2026-04-05 15:50:55.762501
47617852,Show HN: Adentris (YC P25) – Find mistakes in your medical records,entertainment,14,3,digitaltzar,2026-04-05 15:50:58.239775
47628083,Audit Claude Platform Activity with the Compliance API,technology,5,0,gmays,2026-04-05 15:51:00.842449
47602986,Show HN: Real-time dashboard for Claude Code agent teams,technology,76,29,simple10,2026-04-05 15:51:03.120121
47627308,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,9,2,mtlynch,2026-04-05 15:51:05.614880
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-05 15:51:10.934188
47604218,The AI Marketing BS Index,technology,107,21,speckx,2026-04-05 15:51:21.791467
47611455,What Exoskeleton Technology Learned from One User,technology,13,0,rbanffy,2026-04-05 15:51:25.378928
47620155,Marc Andreessen Is Right That AI Isn't Killing Jobs. Interest Rate Hikes Are,technology,38,9,bigbobbeeper,2026-04-05 15:51:27.932072
